source_id,endpoint_contract_id,source_field,source_label,sample_value,source_type,nullable,special_markers,normalized_field,normalized_type,unit,unit_status,date_semantics,identity_semantics,conversion_rule,validation_rule,required_for_valid_row,AI_context_eligible,evidence_status,evidence_reference,open_question,notes
TPEX_OPENAPI,tpex_openapi_mainboard_daily_close_quotes_v1,Date,Date,1150709,string,true,empty|-|--|---,trade_date,string,roc_yyyMMdd,directly_observed,ROC yyyMMdd row date,not_applicable,parse ROC yyyMMdd string only; trim ASCII whitespace; convert to Gregorian YYYY-MM-DD; reject empty or malformed dates; do not apply numeric price/count parsing,required; must match exactly seven digits and produce a valid Gregorian date; special markers are invalid for valid row identity/date,true,true,directly_observed,swagger and probe artifacts,,source ROC date; convert to Gregorian in adapter
TPEX_OPENAPI,tpex_openapi_mainboard_daily_close_quotes_v1,SecuritiesCompanyCode,SecuritiesCompanyCode,006201,string,true,empty|-|--|---,symbol,string,not_applicable,directly_observed,not_applicable,"canonical (market, symbol)",preserve exact trimmed source string as symbol; keep leading zeroes and alphabetic suffixes; do not coerce to integer; do not change case,required; non-empty string after trim; allow digits and observed alphabetic suffixes; reject embedded whitespace/control characters; special markers invalid,true,true,directly_observed,swagger and probe artifacts,,identity
TPEX_OPENAPI,tpex_openapi_mainboard_daily_close_quotes_v1,CompanyName,CompanyName,元大富櫃50,string,true,empty|-|--|---,name,string,not_applicable,directly_observed,not_applicable,"canonical (market, symbol)",preserve trimmed Unicode security name exactly; do not apply numeric/date conversion; do not transliterate,required; non-empty Unicode string after trim; reject control-only values; special markers invalid,true,true,directly_observed,swagger and probe artifacts,,identity
TPEX_OPENAPI,tpex_openapi_mainboard_daily_close_quotes_v1,Open,Open,46.52,string,true,empty|-|--|---,price.open,decimal,TWD per unit,inferred_with_caveat,not_applicable,not_applicable,parse non-negative Decimal-compatible TWD price string after comma removal; blank/dash markers become null with caveat; do not use float for contract value,nullable unless context requires it; valid decimal must be >= 0; reject malformed or negative price values; special markers allowed only as missing,false,true,directly_observed,swagger and probe artifacts,,
TPEX_OPENAPI,tpex_openapi_mainboard_daily_close_quotes_v1,High,High,47.80,string,true,empty|-|--|---,price.high,decimal,TWD per unit,inferred_with_caveat,not_applicable,not_applicable,parse non-negative Decimal-compatible TWD price string after comma removal; blank/dash markers become null with caveat; do not use float for contract value,nullable unless context requires it; valid decimal must be >= 0; reject malformed or negative price values; special markers allowed only as missing,false,true,directly_observed,swagger and probe artifacts,,
TPEX_OPENAPI,tpex_openapi_mainboard_daily_close_quotes_v1,Low,Low,46.52,string,true,empty|-|--|---,price.low,decimal,TWD per unit,inferred_with_caveat,not_applicable,not_applicable,parse non-negative Decimal-compatible TWD price string after comma removal; blank/dash markers become null with caveat; do not use float for contract value,nullable unless context requires it; valid decimal must be >= 0; reject malformed or negative price values; special markers allowed only as missing,false,true,directly_observed,swagger and probe artifacts,,
TPEX_OPENAPI,tpex_openapi_mainboard_daily_close_quotes_v1,Close,Close,46.85,string,true,empty|-|--|---,price.close,decimal,TWD per unit,inferred_with_caveat,not_applicable,not_applicable,parse non-negative Decimal-compatible TWD price string after comma removal; blank/dash markers become null with caveat; do not use float for contract value,nullable unless context requires it; valid decimal must be >= 0; reject malformed or negative price values; special markers allowed only as missing,false,true,directly_observed,swagger and probe artifacts,,
TPEX_OPENAPI,tpex_openapi_mainboard_daily_close_quotes_v1,Change,Change,+0.51,string,true,empty|-|--|---,price.change,decimal,TWD absolute change,inferred_with_caveat,not_applicable,not_applicable,parse signed Decimal-compatible string after comma removal; preserve sign; leading plus is allowed; blank/dash markers become null with caveat,nullable; valid signed decimal or explicit missing marker; reject malformed decimals; negative values are valid for change only,false,true,directly_observed,swagger and probe artifacts,,leading + or -
TPEX_OPENAPI,tpex_openapi_mainboard_daily_close_quotes_v1,Average,Average,47.20,string,true,empty|-|--|---,source_extension.average,decimal,TWD per unit,inferred_with_caveat,not_applicable,not_applicable,parse non-negative Decimal-compatible TWD price string after comma removal; blank/dash markers become null with caveat; do not use float for contract value,nullable unless context requires it; valid decimal must be >= 0; reject malformed or negative price values; special markers allowed only as missing,false,false,directly_observed,swagger and probe artifacts,instrument classification source for row,source-specific; not core safe field initially; omitted from M8A core normalized observation
TPEX_OPENAPI,tpex_openapi_mainboard_daily_close_quotes_v1,TradingShares,TradingShares,200019,string,true,empty|-|--|---,activity.trade_volume,integer,shares/beneficial units,inferred_with_caveat,not_applicable,not_applicable,parse non-negative integer share/beneficial-unit quantity after comma removal; blank/dash markers become null with caveat,"nullable; valid integer must be >= 0; reject decimals, malformed strings, and negative quantities",false,true,directly_observed,swagger and probe artifacts,,
TPEX_OPENAPI,tpex_openapi_mainboard_daily_close_quotes_v1,TransactionAmount,TransactionAmount,9440357,string,true,empty|-|--|---,activity.trade_value,integer,TWD,inferred_with_caveat,not_applicable,not_applicable,parse non-negative integer TWD trade value after comma removal; blank/dash markers become null with caveat,"nullable; valid integer must be >= 0; reject decimals, malformed strings, and negative values",false,true,directly_observed,swagger and probe artifacts,,
TPEX_OPENAPI,tpex_openapi_mainboard_daily_close_quotes_v1,TransactionNumber,TransactionNumber,197,string,true,empty|-|--|---,activity.transaction_count,integer,trades,directly_observed,not_applicable,not_applicable,parse non-negative integer transaction count after comma removal; blank/dash markers become null with caveat,"nullable; valid integer must be >= 0; reject decimals, malformed strings, and negative counts",false,true,directly_observed,swagger and probe artifacts,,
TPEX_OPENAPI,tpex_openapi_mainboard_daily_close_quotes_v1,LatestBidPrice,LatestBidPrice,46.77,string,true,empty|-|--|---,omitted,decimal,TWD per unit,inferred_with_caveat,not_applicable,not_applicable,parse non-negative Decimal-compatible TWD price string after comma removal; blank/dash markers become null with caveat; do not use float for contract value,nullable unless context requires it; valid decimal must be >= 0; reject malformed or negative price values; special markers allowed only as missing,false,false,directly_observed,swagger and probe artifacts,,omit from EOD schema initially; omitted from M8A core normalized observation
TPEX_OPENAPI,tpex_openapi_mainboard_daily_close_quotes_v1,LatesAskPrice,LatesAskPrice,46.90,string,true,empty|-|--|---,omitted,decimal,TWD per unit,inferred_with_caveat,not_applicable,not_applicable,parse non-negative Decimal-compatible TWD price string after comma removal; blank/dash markers become null with caveat; do not use float for contract value,nullable unless context requires it; valid decimal must be >= 0; reject malformed or negative price values; special markers allowed only as missing,false,false,directly_observed,swagger and probe artifacts,,source spelling observed; omitted from M8A core normalized observation
TPEX_OPENAPI,tpex_openapi_mainboard_daily_close_quotes_v1,Capitals,Capitals,20446000,string,true,empty|-|--|---,omitted,integer,shares/capital units unresolved,unresolved,not_applicable,not_applicable,"omit from normalized EOD observation initially; if retained in provenance/extensions, preserve source string or parse only under a future field-specific capital/share-unit contract",not AI-context eligible in M8A core; absence or malformed value must not invalidate the EOD row,false,false,directly_observed,swagger and probe artifacts,,not required for EOD; omitted from M8A core normalized observation
TPEX_OPENAPI,tpex_openapi_mainboard_daily_close_quotes_v1,NextReferencePrice,NextReferencePrice,46.85,string,true,empty|-|--|---,omitted,decimal,TWD per unit,inferred_with_caveat,not_applicable,not_applicable,parse non-negative Decimal-compatible TWD price string after comma removal; blank/dash markers become null with caveat; do not use float for contract value,nullable unless context requires it; valid decimal must be >= 0; reject malformed or negative price values; special markers allowed only as missing,false,false,directly_observed,swagger and probe artifacts,,not required; omitted from M8A core normalized observation
TPEX_OPENAPI,tpex_openapi_mainboard_daily_close_quotes_v1,NextLimitUp,NextLimitUp,51.50,string,true,empty|-|--|---,omitted,decimal,TWD per unit,inferred_with_caveat,not_applicable,not_applicable,parse non-negative Decimal-compatible TWD price string after comma removal; blank/dash markers become null with caveat; do not use float for contract value,nullable unless context requires it; valid decimal must be >= 0; reject malformed or negative price values; special markers allowed only as missing,false,false,directly_observed,swagger and probe artifacts,,not required; omitted from M8A core normalized observation
TPEX_OPENAPI,tpex_openapi_mainboard_daily_close_quotes_v1,NextLimitDown,NextLimitDown,42.17,string,true,empty|-|--|---,omitted,decimal,TWD per unit,inferred_with_caveat,not_applicable,not_applicable,parse non-negative Decimal-compatible TWD price string after comma removal; blank/dash markers become null with caveat; do not use float for contract value,nullable unless context requires it; valid decimal must be >= 0; reject malformed or negative price values; special markers allowed only as missing,false,false,directly_observed,swagger and probe artifacts,,not required; omitted from M8A core normalized observation
