source_id,endpoint_contract_id,instrument_scope,source_field,normalized_field,data_type,unit,required_for_identity,required_for_core_context,AI_context_eligible,evidence_status,conversion_rule,validation_rule,partial_row_policy,caveats
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_opt_v1,options,High,price.high,decimal_string,TWD,false,true,true,documented_and_observed,preserve Decimal-compatible string; no float,non-negative Decimal-compatible string,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_opt_v1,options,Low,price.low,decimal_string,TWD,false,true,true,documented_and_observed,preserve Decimal-compatible string; no float,non-negative Decimal-compatible string,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_opt_v1,options,SettlementPrice,price.settlement,decimal_string,TWD,false,true,true,documented_and_observed,preserve Decimal-compatible string; no float,non-negative Decimal-compatible string,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_opt_v1,options,Volume,activity.volume,integer,contracts,false,true,true,documented_and_observed,comma removal allowed,non-negative integer; comma removal allowed; no decimal,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_opt_v1,options,OpenInterest,open_interest.open_interest,integer,contracts,false,true,true,documented_and_observed,comma removal allowed,non-negative integer; comma removal allowed; no decimal,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_opt_v1,options,StrikePrice,contract_identity.strike_price,decimal_string,TWD,true,true,true,documented_and_observed,preserve Decimal-compatible string; no float,non-negative Decimal-compatible string,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_opt_v1,options,CallPut,contract_identity.option_type,string,option_type,true,true,true,documented_and_observed,map only official values 買權 / 賣權 to call / put,unknown fail closed,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_opt_v1,options,Close,price.close,decimal_string,TWD,false,true,true,documented_and_observed,preserve Decimal-compatible string; no float,non-negative Decimal-compatible string,missing optional numeric => partial row; missing identity => reject,option Close semantics require adapter validation
TAIFEX_OPENAPI,taifex_openapi_final_settlement_price_v1,futures|options,TheFinalSettlementDay,trade_date,string,date,true,true,true,documented_and_observed,YYYYMMDD string -> Gregorian YYYY-MM-DD,reject invalid calendar date,missing optional numeric => partial row; missing identity => reject,"final settlement day, not daily trade date"
TAIFEX_OPENAPI,taifex_openapi_final_settlement_price_v1,futures|options,DeliveryMonth,contract_identity.contract_month,string,contract_month_or_week,true,true,true,documented_and_observed,preserve source string,validate monthly/weekly pattern separately,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_final_settlement_price_v1,futures|options,Contract,product_id,string,product_code,true,true,true,documented_and_observed,preserve exact product code; no numeric coercion,non-empty official product code string,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_final_settlement_price_v1,futures|options,ContractName,product_name,string,name,false,true,true,documented_and_observed,preserve official name,non-empty string,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_final_settlement_price_v1,futures|options,TheFinalSettlementPrice,price.final_settlement,decimal_string,TWD,false,true,true,documented_and_observed,preserve Decimal-compatible string; no float,non-negative Decimal-compatible string,missing optional numeric => partial row; missing identity => reject,"expiry final settlement, not daily settlement"
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_futures_v1,futures,Date,trade_date,string,date,true,true,true,documented_and_observed,YYYYMMDD string -> Gregorian YYYY-MM-DD,reject invalid calendar date,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_futures_v1,futures,Contract,product_id,string,product_code,true,true,true,documented_and_observed,preserve exact product code; no numeric coercion,non-empty official product code string,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_futures_v1,futures,ContractName,product_name,string,name,false,true,true,documented_and_observed,preserve official name,non-empty string,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_futures_v1,futures,SettlementMonth,contract_identity.contract_month,string,contract_month,true,true,true,documented_and_observed,preserve source string,validate month/code pattern separately,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_futures_v1,futures,TypeOfTraders,position_group.type_of_traders,string,code,true,true,true,documented_and_observed,preserve official code,known code validation deferred,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_futures_v1,futures,Top5Buy,large_trader_open_interest.top5_buy,integer,contracts,false,true,true,documented_and_observed,comma removal allowed,non-negative integer; comma removal allowed; no decimal,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_futures_v1,futures,Top5Sell,large_trader_open_interest.top5_sell,integer,contracts,false,true,true,documented_and_observed,comma removal allowed,non-negative integer; comma removal allowed; no decimal,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_futures_v1,futures,Top10Buy,large_trader_open_interest.top10_buy,integer,contracts,false,true,true,documented_and_observed,comma removal allowed,non-negative integer; comma removal allowed; no decimal,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_futures_v1,futures,Top10Sell,large_trader_open_interest.top10_sell,integer,contracts,false,true,true,documented_and_observed,comma removal allowed,non-negative integer; comma removal allowed; no decimal,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_futures_v1,futures,OIOfMarket,large_trader_open_interest.market_open_interest,integer,contracts,false,true,true,documented_and_observed,comma removal allowed,non-negative integer; comma removal allowed; no decimal,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_options_v1,options,Date,trade_date,string,date,true,true,true,documented_and_observed,YYYYMMDD string -> Gregorian YYYY-MM-DD,reject invalid calendar date,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_options_v1,options,Contract,product_id,string,product_code,true,true,true,documented_and_observed,preserve exact product code; no numeric coercion,non-empty official product code string,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_options_v1,options,ContractName,product_name,string,name,false,true,true,documented_and_observed,preserve official name,non-empty string,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_options_v1,options,SettlementMonth,contract_identity.contract_month,string,contract_month,true,true,true,documented_and_observed,preserve source string,validate month/code pattern separately,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_options_v1,options,TypeOfTraders,position_group.type_of_traders,string,code,true,true,true,documented_and_observed,preserve official code,known code validation deferred,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_options_v1,options,Top5Buy,large_trader_open_interest.top5_buy,integer,contracts,false,true,true,documented_and_observed,comma removal allowed,non-negative integer; comma removal allowed; no decimal,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_options_v1,options,Top5Sell,large_trader_open_interest.top5_sell,integer,contracts,false,true,true,documented_and_observed,comma removal allowed,non-negative integer; comma removal allowed; no decimal,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_options_v1,options,Top10Buy,large_trader_open_interest.top10_buy,integer,contracts,false,true,true,documented_and_observed,comma removal allowed,non-negative integer; comma removal allowed; no decimal,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_options_v1,options,Top10Sell,large_trader_open_interest.top10_sell,integer,contracts,false,true,true,documented_and_observed,comma removal allowed,non-negative integer; comma removal allowed; no decimal,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_options_v1,options,OIOfMarket,large_trader_open_interest.market_open_interest,integer,contracts,false,true,true,documented_and_observed,comma removal allowed,non-negative integer; comma removal allowed; no decimal,missing optional numeric => partial row; missing identity => reject,factual projection only; no trading signal
TAIFEX_OPENAPI,taifex_openapi_large_trader_oi_options_v1,options,CallPut,contract_identity.option_type,string,option_type,true,true,true,documented_and_observed,map only official values 買權 / 賣權 to call / put,unknown fail closed,missing optional numeric => partial row; missing identity => reject,
