risk_cluster_key,risk_tags,cluster_size,candidate_owner,candidate_duplicates,semantic_equivalence_guess,safe_to_auto_retire,reason,review_priority,review_score,member_files,unique_called_targets,unique_assertion_shapes,owner_confidence
bounded_watchlist:build_watchlist_observations:boolean_identity+contains+equals+truthy,bounded_watchlist;no_full_market_scan,1,tests/unit/test_m5k_workflow.py,,unclear,no,single test or no duplicate evidence,P3,5,tests/test_generate_watchlist_observations.py,build_watchlist_observations,boolean_identity+contains+equals+truthy,high
bounded_watchlist:load_json:boolean_identity+contains,bounded_watchlist,2,tests/unit/test_m5k_workflow.py,tests/unit/test_m5k_workflow.py::test_disabled_watchlist_rows_validate_but_are_not_planned,partial,manual_review_required,static cluster overlap needs human semantic review,P2,7,tests/unit/test_m5k_workflow.py,load_json,boolean_identity+contains,high
bounded_watchlist:load_json:boolean_identity+contains+equals,bounded_watchlist,1,tests/unit/test_m5k_workflow.py,,unclear,no,single test or no duplicate evidence,P3,6,tests/unit/test_m5n_watchlist_workflow.py,load_json,boolean_identity+contains+equals,high
bounded_watchlist:md_lower:contains,bounded_watchlist;briefing_render;conversation_context;no_full_market_scan,1,tests/unit/test_m5k_workflow.py,,unclear,no,single test or no duplicate evidence,P3,5,tests/test_generate_chatgpt_briefing.py,md_lower,contains,high
briefing_render:render_chatgpt_briefing:contains,briefing_render,4,tests/test_generate_chatgpt_briefing.py::test_no_raw_python_collection_repr,tests/test_generate_chatgpt_briefing.py::test_empty_lists_render_none;tests/test_generate_chatgpt_briefing.py::test_market_session_dict_rendering;tests/test_generate_chatgpt_briefing.py::test_table_cell_escaping,partial,manual_review_required,static cluster overlap needs human semantic review,P1,12,tests/test_generate_chatgpt_briefing.py,render_chatgpt_briefing,contains,low
briefing_render:render_failed_sources:contains,briefing_render,1,tests/test_generate_chatgpt_briefing.py::test_failed_sources_and_targets_table_rendering,,unclear,no,single test or no duplicate evidence,P3,9,tests/test_generate_chatgpt_briefing.py,render_failed_sources,contains,low
conversation_context:__import__:contains+equals+truthy,conversation_context,1,tests/unit/test_m5n_watchlist_workflow.py,,unclear,no,single test or no duplicate evidence,P3,12,tests/unit/test_m5n_watchlist_workflow.py,__import__,contains+equals+truthy,high
conversation_context:_write_test:equals,conversation_context,1,tests/unit/test_m5n_watchlist_workflow.py,,unclear,no,single test or no duplicate evidence,P3,11,tests/unit/test_analyze_test_risk_inventory.py,_write_test,equals,high
conversation_context:build_frontend_readonly_context_package:boolean_identity,ai_context_pack;conversation_context,2,tests/unit/test_m5n_watchlist_workflow.py,tests/unit/test_frontend_readonly_context_package.py::test_flags_false,partial,manual_review_required,static cluster overlap needs human semantic review,P1,12,tests/unit/test_frontend_readonly_context_package.py,build_frontend_readonly_context_package,boolean_identity,high
conversation_context:build_frontend_readonly_context_package:contains,ai_context_pack;conversation_context,3,tests/unit/test_m5n_watchlist_workflow.py,tests/unit/test_frontend_readonly_context_package.py::test_delayed_row_produces_delayed_display_caveat;tests/unit/test_frontend_readonly_context_package.py::test_live_candidate_still_includes_not_realtime_guaranteed,partial,manual_review_required,static cluster overlap needs human semantic review,P0,13,tests/unit/test_frontend_readonly_context_package.py,build_frontend_readonly_context_package,contains,high
conversation_context:build_frontend_readonly_context_package:no_assert,ai_context_pack;conversation_context,1,tests/unit/test_m5n_watchlist_workflow.py,,unclear,no,single test or no duplicate evidence,P3,11,tests/unit/test_frontend_readonly_context_package.py,build_frontend_readonly_context_package,no_assert,high
conversation_context:build_frontend_readonly_context_package:truthy,ai_context_pack;conversation_context,1,tests/unit/test_m5n_watchlist_workflow.py,,unclear,no,single test or no duplicate evidence,P3,11,tests/unit/test_frontend_readonly_context_package.py,build_frontend_readonly_context_package,truthy,high
conversation_context:read:contains,ai_context_pack;conversation_context;governance_path,1,tests/unit/test_m5n_watchlist_workflow.py,,unclear,no,single test or no duplicate evidence,P3,5,tests/unit/test_governance_regression_guards.py,read,contains,high
conversation_context:testclient:boolean_identity+equals,conversation_context,1,tests/unit/test_m5n_watchlist_workflow.py,,unclear,no,single test or no duplicate evidence,P3,12,tests/unit/test_m5n_watchlist_workflow.py,testclient,boolean_identity+equals,high
fastapi_execute_confirmation:client_get:boolean_identity+equals,conversation_context;fastapi_execute_confirmation,1,tests/unit/test_m6d_operator_and_local_networking.py,,unclear,no,single test or no duplicate evidence,P3,6,tests/unit/test_m5k_workflow.py,client_get,boolean_identity+equals,high
fastapi_execute_confirmation:client_get:equals,fastapi_execute_confirmation,1,tests/unit/test_m6d_operator_and_local_networking.py,,unclear,no,single test or no duplicate evidence,P3,5,tests/unit/test_server.py,client_get,equals,high
forbidden_behavior:scan_text:equals,forbidden_behavior,2,scripts/forbidden_behavior_scanner.py,tests/unit/test_forbidden_behavior_scanner.py::test_scanner_does_not_exclude_whole_line_after_no,partial,manual_review_required,static cluster overlap needs human semantic review,P2,6,tests/unit/test_forbidden_behavior_scanner.py,scan_text,equals,high
forbidden_behavior:scan_text:truthy,forbidden_behavior,1,scripts/forbidden_behavior_scanner.py,,unclear,no,single test or no duplicate evidence,P3,5,tests/unit/test_forbidden_behavior_scanner.py,scan_text,truthy,high
frontend_public_write:__import__:contains,frontend_public_write;frontend_static_contract;production_prod_write;research_generated_write,3,tests/unit/test_m5d_publication_candidate.py::test_candidate_summary_activation_semantics_rehashed_still_blocked,tests/unit/test_m5d_publication_candidate.py::test_recursive_frontend_publication_authorized_and_token_issued_flags_rejected;tests/unit/test_m5lrm_contract_convergence.py::test_forbidden_product_paths_not_written_by_m5lrm,partial,manual_review_required,static cluster overlap needs human semantic review,P1,10,tests/unit/test_m5d_publication_candidate.py;tests/unit/test_m5lrm_contract_convergence.py,__import__,contains,low
frontend_public_write:__setitem__:truthy,frontend_public_write;production_prod_write;research_generated_write,1,tests/unit/test_controlled_refresh_staging_validator.py::test_invalid_payload_mutations_fail,,unclear,no,single test or no duplicate evidence,P3,9,tests/unit/test_controlled_refresh_staging_validator.py,__setitem__,truthy,low
frontend_public_write:_network_scan_lines:contains,ai_context_pack;conversation_context;frontend_public_write;frontend_static_contract;governance_path,1,tests/unit/test_m5n_watchlist_workflow.py,,unclear,no,single test or no duplicate evidence,P3,5,tests/unit/test_governance_regression_guards.py,_network_scan_lines,contains,high
frontend_public_write:_tags_for_source:contains,frontend_public_write;frontend_static_contract,2,tests/unit/test_analyze_test_risk_inventory.py::test_precision_keyword_public_alone_is_not_frontend_public_write,tests/unit/test_analyze_test_risk_inventory.py::test_precision_frontend_public_exact_path_tags_write,partial,manual_review_required,static cluster overlap needs human semantic review,P2,8,tests/unit/test_analyze_test_risk_inventory.py,_tags_for_source,contains,low
frontend_public_write:_targets:boolean_identity+contains+equals+truthy,ai_context_pack;bounded_watchlist;briefing_render;frontend_public_write;frontend_static_contract;production_prod_write;snapshot_schema,1,tests/unit/test_m5k_workflow.py,,unclear,no,single test or no duplicate evidence,P3,6,tests/unit/test_m3g10_bridge_dry_run.py,_targets,boolean_identity+contains+equals+truthy,high
frontend_public_write:alias_symlink_to:no_assert,frontend_public_write;frontend_static_contract;m5e_publication;production_prod_write,1,tests/unit/test_m5e_controlled_frontend_publication.py::test_production_rejects_symlink_alias_destination,,unclear,no,single test or no duplicate evidence,P3,10,tests/unit/test_m5e_controlled_frontend_publication.py,alias_symlink_to,no_assert,low
frontend_public_write:all:contains,frontend_public_write;m6g_browser_e2e;production_prod_write;research_generated_write,1,tests/test_m6g_browser_operator_e2e.py,,unclear,no,single test or no duplicate evidence,P3,5,tests/test_m6g_browser_operator_e2e.py,all,contains,high
frontend_public_write:any:contains,frontend_public_write;frontend_static_contract;m5e_publication,1,tests/unit/test_m5e_controlled_frontend_publication.py::test_authorization_failures,,unclear,no,single test or no duplicate evidence,P3,10,tests/unit/test_m5e_controlled_frontend_publication.py,any,contains,low
frontend_public_write:any:contains+equals,frontend_public_write;frontend_static_contract,1,tests/unit/test_m5d_publication_candidate.py::test_missing_authorization_and_fake_token_validator_blocks,,unclear,no,single test or no duplicate evidence,P3,10,tests/unit/test_m5d_publication_candidate.py,any,contains+equals,low
frontend_public_write:any:equals,frontend_public_write;frontend_static_contract,2,tests/unit/test_m5d_publication_candidate.py::test_request_validator_calls_candidate_validator_for_payload_tampering,tests/unit/test_m5d_publication_candidate.py::test_wrong_proposed_destination_request_validator_blocks,partial,manual_review_required,static cluster overlap needs human semantic review,P3,1,tests/unit/test_m5d_publication_candidate.py,any,equals,low
frontend_public_write:any:equals+truthy,forbidden_behavior;frontend_public_write;frontend_static_contract,1,scripts/forbidden_behavior_scanner.py,,unclear,no,single test or no duplicate evidence,P3,6,tests/unit/test_run_m4_readiness_check.py,any,equals+truthy,high
frontend_public_write:assert_not_forbidden_repo_write_path:truthy,frontend_public_write;frontend_static_contract;governance_path,1,scripts/governance_forbidden_path_guard.py,,unclear,no,single test or no duplicate evidence,P3,5,tests/unit/test_governance_forbidden_path_guard.py,assert_not_forbidden_repo_write_path,truthy,high
frontend_public_write:build:no_assert,frontend_public_write;frontend_static_contract;m5b_staging;no_trading_semantics;production_prod_write;raw_payload_leakage;research_generated_write;snapshot_schema,1,scripts/forbidden_behavior_scanner.py,,unclear,no,single test or no duplicate evidence,P3,2,tests/unit/test_m5b_failure_injection.py,build,no_assert,high
frontend_public_write:build_frontend_readonly_context_package:equals,ai_context_pack;conversation_context;frontend_public_write;frontend_static_contract,1,tests/unit/test_m5n_watchlist_workflow.py,,unclear,no,single test or no duplicate evidence,P3,11,tests/unit/test_frontend_readonly_golden_snapshots.py,build_frontend_readonly_context_package,equals,high
frontend_public_write:build_frontend_readonly_context_package:no_assert,ai_context_pack;conversation_context;frontend_public_write,1,tests/unit/test_m5n_watchlist_workflow.py,,unclear,no,single test or no duplicate evidence,P3,11,tests/unit/test_frontend_readonly_context_package.py,build_frontend_readonly_context_package,no_assert,high
frontend_public_write:build_frontend_readonly_context_package:truthy,ai_context_pack;conversation_context;frontend_public_write,1,tests/unit/test_m5n_watchlist_workflow.py,,unclear,no,single test or no duplicate evidence,P3,11,tests/unit/test_frontend_readonly_context_package.py,build_frontend_readonly_context_package,truthy,high
frontend_public_write:copy_candidate:contains,ai_context_pack;conversation_context;frontend_public_write;frontend_static_contract,1,tests/unit/test_m5n_watchlist_workflow.py,,unclear,no,single test or no duplicate evidence,P3,12,tests/unit/test_m5d_publication_candidate.py,copy_candidate,contains,high
frontend_public_write:d_read_text:contains,frontend_public_write;frontend_static_contract;m5e_publication,1,tests/unit/test_m5e_controlled_frontend_publication.py::test_token_hash_integrity,,unclear,no,single test or no duplicate evidence,P3,10,tests/unit/test_m5e_controlled_frontend_publication.py,d_read_text,contains,low
frontend_public_write:dest_exists:equals+truthy,frontend_public_write;frontend_static_contract;m5e_publication,1,tests/unit/test_m5e_controlled_frontend_publication.py::test_transaction_new_target_rollback_and_recovery,,unclear,no,single test or no duplicate evidence,P3,0,tests/unit/test_m5e_controlled_frontend_publication.py,dest_exists,equals+truthy,low
frontend_public_write:dest_read_bytes:equals,frontend_public_write;m5e_publication,1,tests/unit/test_m5e_controlled_frontend_publication.py::test_duplicate_single_use_same_journal_preserves_existing_evidence,,unclear,no,single test or no duplicate evidence,P3,10,tests/unit/test_m5e_controlled_frontend_publication.py,dest_read_bytes,equals,low
frontend_public_write:dest_read_text:equals,frontend_public_write;m5e_publication,2,tests/unit/test_m5e_controlled_frontend_publication.py::test_transaction_replace_rollback,tests/unit/test_m5e_controlled_frontend_publication.py::test_rollback_refuses_to_overwrite_newer_content,partial,manual_review_required,static cluster overlap needs human semantic review,P3,1,tests/unit/test_m5e_controlled_frontend_publication.py,dest_read_text,equals,low
frontend_public_write:dest_read_text:equals+truthy,frontend_public_write;frontend_static_contract;m5e_publication,1,tests/unit/test_m5e_controlled_frontend_publication.py::test_crash_recovery_matrix,,unclear,no,single test or no duplicate evidence,P3,0,tests/unit/test_m5e_controlled_frontend_publication.py,dest_read_text,equals+truthy,low
frontend_public_write:dest_write_text:equals,frontend_public_write;frontend_static_contract;m5e_publication,1,tests/unit/test_m5e_controlled_frontend_publication.py::test_after_receipt_recovery_rejects_wrong_authorization_binding,,unclear,no,single test or no duplicate evidence,P3,10,tests/unit/test_m5e_controlled_frontend_publication.py,dest_write_text,equals,low
frontend_public_write:evaluate_repo_safety:truthy,frontend_public_write;governance_path,1,scripts/governance_forbidden_path_guard.py,,unclear,no,single test or no duplicate evidence,P3,6,tests/unit/test_repo_wide_governance_regression_m4.py,evaluate_repo_safety,truthy,high
frontend_public_write:exists:tautological,frontend_public_write;frontend_static_contract,1,tests/unit/test_frontend_readonly_static_contracts.py::test_no_frontend_public_changed,,unclear,no,single test or no duplicate evidence,P3,9,tests/unit/test_frontend_readonly_static_contracts.py,exists,tautological,low
frontend_public_write:exists:truthy,frontend_public_write;m5e_publication,2,tests/unit/test_m5e_controlled_frontend_publication.py::test_transaction_claims_single_use,tests/unit/test_no_frontend_public_write_guard.py::test_local_preview_outside_public,partial,manual_review_required,static cluster overlap needs human semantic review,P1,9,tests/unit/test_m5e_controlled_frontend_publication.py;tests/unit/test_no_frontend_public_write_guard.py,exists,truthy,low
frontend_public_write:f_read:contains+equals,frontend_public_write;frontend_static_contract,1,tests/unit/test_markdown_escaping.py::test_markdown_table_escaping,,unclear,no,single test or no duplicate evidence,P3,9,tests/unit/test_markdown_escaping.py,f_read,contains+equals,low
frontend_public_write:forbid_path:boolean_identity+equals+truthy,frontend_public_write;frontend_static_contract;governance_path;m5c_staging;research_generated_write,1,scripts/governance_forbidden_path_guard.py,,unclear,no,single test or no duplicate evidence,P3,6,tests/unit/test_m5c_staging_promotion.py,forbid_path,boolean_identity+equals+truthy,high
frontend_public_write:frontend_public_changed_files:boolean_identity+equals,frontend_public_write;frontend_static_contract;governance_path,2,scripts/governance_forbidden_path_guard.py,tests/unit/test_no_frontend_public_write_guard.py::test_frontend_public_changed_file_pure_check_allows_safe_paths,partial,manual_review_required,static cluster overlap needs human semantic review,P3,4,tests/unit/test_no_frontend_public_write_guard.py,frontend_public_changed_files,boolean_identity+equals,medium
frontend_public_write:has_frontend_public_changed_file:boolean_identity,frontend_public_write,1,tests/unit/test_no_frontend_public_write_guard.py::test_docs_can_mention_frontend_public_without_being_path_writes,,unclear,no,single test or no duplicate evidence,P3,9,tests/unit/test_no_frontend_public_write_guard.py,has_frontend_public_changed_file,boolean_identity,low
frontend_public_write:inp_write_text:no_assert,ai_context_pack;conversation_context;frontend_public_write;frontend_static_contract,1,tests/unit/test_m5n_watchlist_workflow.py,,unclear,no,single test or no duplicate evidence,P3,11,tests/unit/test_frontend_readonly_context_package.py,inp_write_text,no_assert,high
frontend_public_write:is_forbidden_changed_path:truthy,frontend_public_write;frontend_static_contract;governance_path;research_generated_write,1,scripts/governance_forbidden_path_guard.py,,unclear,no,single test or no duplicate evidence,P3,5,tests/unit/test_repo_safety_preflight.py,is_forbidden_changed_path,truthy,high
frontend_public_write:is_forbidden_output_path:truthy,frontend_public_write;frontend_static_contract,1,tests/unit/test_build_fixture_hash_manifest.py::test_forbidden_output_path_blocks_absolute_and_traversal,,unclear,no,single test or no duplicate evidence,P3,9,tests/unit/test_build_fixture_hash_manifest.py,is_forbidden_output_path,truthy,low
frontend_public_write:is_forbidden_repo_write_path:truthy,frontend_public_write;frontend_static_contract;governance_path;production_prod_write;research_generated_write,2,scripts/governance_forbidden_path_guard.py,tests/unit/test_governance_forbidden_path_guard.py::test_windows_nested_fail,partial,manual_review_required,static cluster overlap needs human semantic review,P3,4,tests/unit/test_governance_forbidden_path_guard.py,is_forbidden_repo_write_path,truthy,medium
frontend_public_write:js_split:contains,frontend_public_write;frontend_static_contract;research_generated_write,1,tests/unit/test_m5op_frontend_operator_workflow.py::test_no_forbidden_static_writes_or_startup_execution_contract,,unclear,no,single test or no duplicate evidence,P3,9,tests/unit/test_m5op_frontend_operator_workflow.py,js_split,contains,low
frontend_public_write:link_symlink_to:no_assert,frontend_public_write;frontend_static_contract;m5e_publication,1,tests/unit/test_m5e_controlled_frontend_publication.py::test_path_traversal_and_symlink,,unclear,no,single test or no duplicate evidence,P3,10,tests/unit/test_m5e_controlled_frontend_publication.py,link_symlink_to,no_assert,low
frontend_public_write:load:contains,forbidden_behavior;frontend_public_write;frontend_static_contract;governance_path;no_trading_semantics,1,scripts/forbidden_behavior_scanner.py,,unclear,no,single test or no duplicate evidence,P3,5,tests/unit/test_governance_policy_manifest.py,load,contains,high
frontend_public_write:m5e__schema_errors:boolean_identity+equals+truthy,frontend_public_write;frontend_static_contract;m5e_publication,1,tests/unit/test_m5e_controlled_frontend_publication.py::test_simulation_journal_and_receipt_do_not_claim_publication,,unclear,no,single test or no duplicate evidence,P3,10,tests/unit/test_m5e_controlled_frontend_publication.py,m5e__schema_errors,boolean_identity+equals+truthy,low
frontend_public_write:m5e__schema_errors:truthy,frontend_public_write;frontend_static_contract;m5e_publication,1,tests/unit/test_m5e_controlled_frontend_publication.py::test_transaction_outputs_validate_against_schemas,,unclear,no,single test or no duplicate evidence,P3,0,tests/unit/test_m5e_controlled_frontend_publication.py,m5e__schema_errors,truthy,low
frontend_public_write:m5e_fsha:no_assert,frontend_public_write;frontend_static_contract;m5e_publication,1,tests/unit/test_m5e_controlled_frontend_publication.py::test_transaction_requires_claim_dir_and_candidate_hash,,unclear,no,single test or no duplicate evidence,P3,10,tests/unit/test_m5e_controlled_frontend_publication.py,m5e_fsha,no_assert,low
frontend_public_write:mkdir:boolean_identity,ai_context_pack;conversation_context;frontend_public_write;frontend_static_contract,1,tests/unit/test_m5n_watchlist_workflow.py,,unclear,no,single test or no duplicate evidence,P3,11,tests/unit/test_local_delivery_acceptance.py,mkdir,boolean_identity,high
frontend_public_write:monkeypatch_setattr:boolean_identity+equals,frontend_public_write,1,tests/unit/test_m5d_plan_simulation_validates.py::test_m5d_plan_blocks_when_validator_fails,,unclear,no,single test or no duplicate evidence,P3,10,tests/unit/test_m5d_plan_simulation_validates.py,monkeypatch_setattr,boolean_identity+equals,low
frontend_public_write:oserror:no_assert,frontend_public_write;m5e_publication,3,tests/unit/test_m5e_controlled_frontend_publication.py::test_io_failure_injection_for_write_fsync_replace_and_backup,tests/unit/test_m5e_controlled_frontend_publication.py::test_failure_injection_late_transaction_and_receipt_stages;tests/unit/test_m5e_controlled_frontend_publication.py::test_failure_injection_rollback_receipt_and_directory_fsync,partial,manual_review_required,static cluster overlap needs human semantic review,P3,2,tests/unit/test_m5e_controlled_frontend_publication.py,oserror,no_assert,low
frontend_public_write:p_write_text:truthy,frontend_public_write;frontend_static_contract,1,tests/unit/test_run_fixture_replay_scenarios.py::test_replay_checks_expected_caveats,,unclear,no,single test or no duplicate evidence,P3,9,tests/unit/test_run_fixture_replay_scenarios.py,p_write_text,truthy,low
frontend_public_write:path:contains,frontend_public_write;frontend_static_contract,1,tests/unit/test_m5k_workflow.py::test_frontend_model_uses_m5k_endpoints_not_public_publication,,unclear,no,single test or no duplicate evidence,P3,10,tests/unit/test_m5k_workflow.py,path,contains,low
frontend_public_write:payload:no_assert,frontend_public_write,1,tests/unit/test_controlled_refresh_staging_writer.py::test_output_path_under_frontend_public_fails_closed,,unclear,no,single test or no duplicate evidence,P3,9,tests/unit/test_controlled_refresh_staging_writer.py,payload,no_assert,low
frontend_public_write:r_stdout_lower:contains+equals,forbidden_behavior;frontend_public_write;frontend_static_contract;governance_path,1,scripts/governance_forbidden_path_guard.py,,unclear,no,single test or no duplicate evidence,P3,6,tests/unit/test_default_safe_cli_contracts.py,r_stdout_lower,contains+equals,high
frontend_public_write:read:contains,ai_context_pack;conversation_context;frontend_public_write;governance_path,1,tests/unit/test_m5n_watchlist_workflow.py,,unclear,no,single test or no duplicate evidence,P3,5,tests/unit/test_governance_regression_guards.py,read,contains,high
frontend_public_write:read_text:contains,ai_context_pack;conversation_context;frontend_public_write,1,tests/unit/test_m5n_watchlist_workflow.py,,unclear,no,single test or no duplicate evidence,P3,11,tests/unit/test_no_frontend_public_write_guard.py,read_text,contains,high
frontend_public_write:req_read_text:contains,frontend_public_write;frontend_static_contract;m5c_staging,1,tests/unit/test_m5d_frontend_publication_preflight.py::test_m5d_request_rejects_wrong_hash_and_approval_material,,unclear,no,single test or no duplicate evidence,P3,10,tests/unit/test_m5d_frontend_publication_preflight.py,req_read_text,contains,low
frontend_public_write:rollback:equals,frontend_public_write;m5b_staging;m5c_staging;production_prod_write;research_generated_write,1,tests/unit/test_m5c_staging_promotion.py::test_rollback_rejects_forbidden_tmp_roots,,unclear,no,single test or no duplicate evidence,P3,0,tests/unit/test_m5c_staging_promotion.py,rollback,equals,low
frontend_public_write:run_ci_delivery_acceptance:boolean_identity+equals,frontend_public_write;frontend_static_contract,1,tests/unit/test_ci_delivery_acceptance.py::test_ci_wrapper_blocks_frontend_public_changed_files_without_git_remote,,unclear,no,single test or no duplicate evidence,P3,9,tests/unit/test_ci_delivery_acceptance.py,run_ci_delivery_acceptance,boolean_identity+equals,low
frontend_public_write:write_acceptance_report:no_assert,frontend_public_write;frontend_static_contract,1,tests/unit/test_local_delivery_acceptance.py::test_write_report_to_frontend_public_fails_closed,,unclear,no,single test or no duplicate evidence,P3,9,tests/unit/test_local_delivery_acceptance.py,write_acceptance_report,no_assert,low
frontend_static_contract:_materialize_candidate:equals,frontend_static_contract;m5e_publication,1,tests/unit/test_m5e_controlled_frontend_publication.py::test_reproducibility_materialize_candidate,,unclear,no,single test or no duplicate evidence,P3,10,tests/unit/test_m5e_controlled_frontend_publication.py,_materialize_candidate,equals,low
frontend_static_contract:_tags_for_source:contains,frontend_static_contract,2,tests/unit/test_analyze_test_risk_inventory.py::test_precision_keyword_contract_alone_is_not_frontend_static_contract,tests/unit/test_analyze_test_risk_inventory.py::test_precision_frontend_static_requires_frontend_and_static_contract,partial,manual_review_required,static cluster overlap needs human semantic review,P1,10,tests/unit/test_analyze_test_risk_inventory.py,_tags_for_source,contains,low
frontend_static_contract:all:boolean_identity+contains,frontend_static_contract;no_trading_semantics;production_prod_write,1,scripts/forbidden_behavior_scanner.py,,unclear,no,single test or no duplicate evidence,P3,5,tests/unit/test_frontend_readonly_golden_snapshots.py,all,boolean_identity+contains,high
frontend_static_contract:all:boolean_identity+equals,ai_context_pack;conversation_context;frontend_static_contract;m5c_staging,1,tests/unit/test_m5n_watchlist_workflow.py,,unclear,no,single test or no duplicate evidence,P3,12,tests/unit/test_m5c_staging_promotion.py,all,boolean_identity+equals,high
frontend_static_contract:any:equals,forbidden_behavior;frontend_static_contract;m6e_acceptance,1,tests/test_m6e_operator_acceptance.py,,unclear,no,single test or no duplicate evidence,P3,5,tests/test_m6e_operator_acceptance.py,any,equals,high
frontend_static_contract:build_frontend_readonly_context_package:contains,ai_context_pack;conversation_context;frontend_static_contract,1,tests/unit/test_m5n_watchlist_workflow.py,,unclear,no,single test or no duplicate evidence,P3,11,tests/unit/test_freshness_delay_matrix.py,build_frontend_readonly_context_package,contains,high
frontend_static_contract:build_mock_inputs_from_fixtures:boolean_identity+contains+equals+truthy,bounded_watchlist;frontend_static_contract;no_full_market_scan;snapshot_schema,1,tests/unit/test_m5k_workflow.py,,unclear,no,single test or no duplicate evidence,P3,5,tests/test_market_snapshot_generator.py,build_mock_inputs_from_fixtures,boolean_identity+contains+equals+truthy,high
frontend_static_contract:capsys_readouterr:contains+equals,frontend_static_contract;m5e_publication,1,tests/unit/test_m5e_controlled_frontend_publication.py::test_repository_execute_without_auth_fails,,unclear,no,single test or no duplicate evidence,P3,10,tests/unit/test_m5e_controlled_frontend_publication.py,capsys_readouterr,contains+equals,low
frontend_static_contract:exists:truthy,frontend_static_contract,1,tests/unit/test_frontend_readonly_static_contracts.py::test_required_frontend_preview_files_exist,,unclear,no,single test or no duplicate evidence,P3,9,tests/unit/test_frontend_readonly_static_contracts.py,exists,truthy,low
